Fecha;PIB Trimestral;Var. Trim. PIB (%);Var. anual PIB Trim. (%)
I Trim 2000;2.534.764 M€;0,40%;4,20%
II Trim 2000;2.745.317 M€;1,80%;5,20%
III Trim 2000;2.849.692 M€;0,10%;4,00%
IV Trim 2000;3.004.648 M€;0,60%;2,90%
I Trim 2001;2.835.310 M€;-0,30%;2,20%
II Trim 2001;3.036.963 M€;0,60%;1,00%
III Trim 2001;2.975.969 M€;-0,40%;0,50%
IV Trim 2001;2.974.792 M€;0,30%;0,20%
I Trim 2002;3.075.376 M€;0,80%;1,30%
II Trim 2002;2.962.413 M€;0,60%;1,30%
III Trim 2002;2.791.228 M€;0,40%;2,10%
IV Trim 2002;2.767.019 M€;0,10%;2,00%
I Trim 2003;2.603.236 M€;0,50%;1,70%
II Trim 2003;2.486.978 M€;0,90%;2,00%
III Trim 2003;2.570.828 M€;1,70%;3,20%
IV Trim 2003;2.475.238 M€;1,20%;4,30%
I Trim 2004;2.385.262 M€;0,60%;4,30%
II Trim 2004;2.513.867 M€;0,80%;4,20%
III Trim 2004;2.517.452 M€;0,90%;3,50%
IV Trim 2004;2.413.349 M€;1,00%;3,40%
I Trim 2005;2.434.089 M€;1,10%;3,90%
II Trim 2005;2.565.241 M€;0,50%;3,60%
III Trim 2005;2.693.385 M€;0,80%;3,40%
IV Trim 2005;2.802.971 M€;0,60%;3,00%
I Trim 2006;2.827.739 M€;1,30%;3,20%
II Trim 2006;2.732.758 M€;0,30%;3,00%
III Trim 2006;2.721.139 M€;0,10%;2,30%
IV Trim 2006;2.723.590 M€;0,90%;2,60%
I Trim 2007;2.711.669 M€;0,30%;1,60%
II Trim 2007;2.670.811 M€;0,60%;1,90%
III Trim 2007;2.650.334 M€;0,60%;2,40%
IV Trim 2007;2.539.531 M€;0,60%;2,10%
I Trim 2008;2.455.018 M€;-0,40%;1,40%
II Trim 2008;2.378.969 M€;0,60%;1,40%
III Trim 2008;2.474.917 M€;-0,50%;0,30%
IV Trim 2008;2.770.905 M€;-2,20%;-2,50%
I Trim 2009;2.768.996 M€;-1,10%;-3,20%
II Trim 2009;2.637.404 M€;-0,20%;-4,00%
III Trim 2009;2.525.498 M€;0,40%;-3,10%
IV Trim 2009;2.478.390 M€;1,10%;0,10%
I Trim 2010;2.669.139 M€;0,50%;1,70%
II Trim 2010;2.947.001 M€;1,00%;2,90%
III Trim 2010;2.932.147 M€;0,80%;3,30%
IV Trim 2010;2.817.764 M€;0,50%;2,80%
I Trim 2011;2.805.455 M€;-0,20%;2,00%
II Trim 2011;2.702.651 M€;0,70%;1,70%
III Trim 2011;2.769.109 M€;0,00%;0,90%
IV Trim 2011;2.937.669 M€;1,10%;1,50%
I Trim 2012;3.064.694 M€;0,80%;2,60%
II Trim 2012;3.161.994 M€;0,40%;2,40%
III Trim 2012;3.263.386 M€;0,10%;2,60%
IV Trim 2012;3.165.809 M€;0,10%;1,60%
I Trim 2013;3.151.634 M€;1,00%;1,70%
II Trim 2013;3.201.785 M€;0,30%;1,50%
III Trim 2013;3.200.770 M€;0,90%;2,20%
IV Trim 2013;3.157.976 M€;0,90%;3,00%
I Trim 2014;3.139.190 M€;-0,30%;1,70%
II Trim 2014;3.194.243 M€;1,30%;2,70%
III Trim 2014;3.357.768 M€;1,20%;3,10%
IV Trim 2014;3.582.989 M€;0,50%;2,70%
